fdid,name,dob,dod
1,Jean-Luc Godard,1931-3-12,
2,Francois Truffaut,1932-02-06,1984-10-21
3,Mike Nichols,1931-11-06,2014-11-19
4,Alfred Hitchcock,1899-08-12,1980-04-29
5,Federico Fellini,1920-01-20,1993-10-31
6,Akira Kurosawa,1910-04-23,1998-09-06
7,Martin Scorsese,1942-11-17,
8,Bong Joon-ho,1969-10-14,
9,Jean Renoir,1894-10-15,1979-02-12
10,Spike Lee,1957-04-20,
11,Steven Spielberg,1946-10-18,
12,Stanley Kubrick,1928-07-26,1999-04-07
13,Sergio Leone,1929-01-03,1989-04-30
14,Michelangelo Antonioni,1912-08-29,2007-07-30
15,Bernardo Bertolucci,1941-04-16,2018-11-26
16,Sergei Eisenstein,1898-01-22,1948-02-11
17,Christopher Nolan,1970-06-30,
18,Robert Altman,1925-02-20,2006-11-20
19,Orsen Welles,1915-05-06,1985-10-10
20,Francis Ford Coppola,1939-04-07,
21,John Huston,1906-08-05,1987-08-28
22,Chang Cheh,1923-02-10,2002-06-22
23,Wong Kar wai,1958-07-17,
24,Fei Mu,1906-10-10,1951-01-31
25,Zhang Yimou,1951-11-14,
26,Stephen Chow,1962-06-22,
27,Billy Wilder,1906-06-22,
28,Carol Reed,1906-04-25,1976-04-24
29,John Ford,1894-02-01,1973-08-31
30,Clint Eastwood,1930-05-31,
31,Quentin Tarantino,1963-03-27,
32,Harold ramis,1944-11-21,2014-02-14
33,Sidney Lumet,1924-09-25,2011-04-09
34,Jan de Bont,1943-10-22,
35,The Wachowskis,1967-12-29,
36,David Lynch,1946-01-20,
37,Victor Fleming,1889-02-23,1949-01-06
38,Randal Kleiser,1946-06-20,
39,John Badham,1939-08-25,
40,Banksy,1970-05-23,
41,Jorge Furtado,1959-06-09,
42,Laura Poitras,1964-02-02,
43,Fernando Meirelles,1955-11-09,
44,Rob reiner,1947-04-06,
45,Milos Forman,1932-02-18,2018-04-12





