lid,country,borough,zip,poBox,latitude,longitude
5231,USA,New York,10004,4336,,
5232,USA,Staten Island,10305,4172,,
5233,USA,New York,10032,3682,,
5234,USA,New York,10019,1571,,
5235,USA,New York,0,9089,,
5236,USA,New York,10024,8873,,
5237,USA,New York,10013,3930,,
5238,USA,New York,10021,3085,,
5239,USA,New York,10012,2414,,
5240,USA,New York,10021,7000,,
5241,USA,New York,10032,6334,,
5242,USA,Bronx,10464,4791,,
5243,USA,Queens,11354,4130,,
5244,USA,Bronx,10467,8125,,
5245,USA,Bronx,10456,4007,,
5246,USA,Brooklyn,11213,1719,,
5247,USA,Brooklyn,11201,9145,,
5248,USA,Brooklyn,11238,3352,,
5249,USA,New York,10011,4682,,
5250,USA,New York,10024,2960,,
5251,USA,New York,10012,1088,,
5252,USA,New York,10040,2884,,
5253,USA,Brooklyn,11224,4812,,
5254,USA,New York,10128,3167,,
5255,USA,New York,10022,1235,,
5256,USA,New York,10032,1202,,
5257,USA,New York,10011,3600,,
5258,USA,New York,1036,4592,,
5259,USA,New York,10013,7655,,
5260,USA,New York,10034,1999,,
5261,USA,New York,10012,6211,,
5262,USA,New York,10029,3670,,
5263,USA,New York,0,8962,,
5264,USA,New York,10004,5622,,
5265,USA,New York,10021,3903,,
5266,USA,Staten Island,10305,4847,,
5267,USA,New York,10028,6890,,
5268,USA,New York,10128,9088,,
5269,USA,Bronx,10453,3643,,
5270,USA,Brooklyn,11252,5266,,
5271,USA,New York,10032,9958,,
5272,USA,Bronx,10468,5592,,
5273,USA,Brooklyn,11231,6147,,
5274,USA,New York,10036,7893,,
5275,USA,New York,10036,6411,,
5276,USA,Queens,11106,7631,,
5277,USA,New York,10013,6154,,
5278,USA,New York,10013,8148,,
5279,USA,Staten Island,10306,9632,,
5280,USA,New York,10033,7081,,
5281,USA,New York,10128,5816,,
5282,USA,New York,10001,1631,,
5283,USA,Queens,11432,5368,,
5284,USA,Queens,11354,4089,,
5285,USA,Queens,11101,6961,,
5286,USA,New York,10001,4006,,
5287,USA,Brooklyn,11215,8455,,
5288,USA,New York,10036,3330,,
5289,USA,New York,10003,6258,,
5290,USA,New York,10028,2776,,
5291,USA,New York,10016,8699,,
5292,USA,New York,10016,4868,,
5293,USA,New York,10032,1643,,
5294,USA,New York,10021,1791,,
5295,USA,New York,10022,4989,,
5296,USA,Queens,11101,5294,,
5297,USA,New York,10005,6866,,
5298,USA,New York,10021,4792,,
5299,USA,New York,10019,9434,,
5300,USA,New York,10023,5617,,
5301,USA,New York,10013,1276,,
5302,USA,New York,10012,4355,,
5303,USA,Brooklyn,11217,3129,,
5304,USA,New York,10280,7037,,
5305,USA,New York,10019,9535,,
5306,USA,New York,10029,2266,,
5307,USA,Queens,11106,5915,,
5308,USA,New York,10128,9290,,
5309,USA,Staten Island,10301,9338,,
5310,USA,New York,10004,2614,,
5311,USA,New York,10006,9189,,
5312,USA,New York,10028,5960,,
5313,USA,New York,10002,5406,,
5314,USA,New York,10012,2301,,
5315,USA,New York,10038,4870,,
5316,USA,Queens,11368,8321,,
5317,USA,New York,10024,5617,,
5318,USA,New York,10017,5881,,
5319,USA,Brooklyn,0,6817,,
5320,USA,New York,10025,9156,,
5321,USA,Staten Island,10301,2184,,
5322,USA,Brooklyn,11215,2121,,
5323,USA,Queens,11101,2902,,
5324,USA,New York,10019,6153,,
5325,USA,Queens,11386,5737,,
5326,USA,Queens,11004,9460,,
5327,USA,Queens,11368,5894,,
5328,USA,New York,10024,8653,,
5329,USA,New York,0,7529,,
5330,USA,New York,10011,4464,,
5331,USA,Staten Island,0,4186,,
5332,USA,New York,10016,8662,,
5333,USA,New York,10037,1699,,
5334,USA,New York,10010,7290,,
5335,USA,Staten Island,10307,3465,,
5336,USA,New York,10280,2245,,
5337,USA,New York,10128,3248,,
5338,USA,New York,10022,9484,,
5339,USA,New York,10038,6461,,
5340,USA,Staten Island,10301,6620,,
5341,USA,Staten Island,10301,9200,,
5342,USA,New York,10027,3590,,
5343,USA,New York,10002,8782,,
5344,USA,New York,10002,8462,,
5345,USA,New York,10035,8036,,
5346,USA,Brooklyn,11213,2734,,
5347,USA,New York,10001,3513,,
5348,USA,New York,10003,6441,,
5349,USA,New York,10003,2481,,
5350,USA,Bronx,10467,7211,,
5351,USA,Bronx,10471,1735,,
5352,USA,Bronx,10471,8931,,
5353,USA,New York,10021,8003,,
5354,USA,Brooklyn,11203,5957,,
5355,USA,New York,10011,6415,,
5356,USA,New York,10011,9259,,
5357,USA,New York,10011,3653,,
5358,USA,New York,10011,2920,,
5359,USA,New York,10011,1259,,
5360,USA,New York,10011,2551,,
